Date,Close,High,Low,Open,Volume
2020-01-01,204.3975372314453,208.0775146484375,203.2051544189453,204.67129516601562,1456113692
2020-01-02,195.6985626220703,205.13674926757812,194.06980895996094,204.3545379638672,1432801807
2020-01-03,222.41297912597656,224.95086669921875,192.9794921875,196.0076904296875,2644279656
2020-01-04,226.01869201660156,227.4605255126953,220.28091430664062,222.53656005859375,1861485049
2020-01-05,224.09652709960938,228.21929931640625,222.35269165039062,225.7798309326172,1681830248
2020-01-06,244.5572052001953,245.1061248779297,223.6918182373047,224.34791564941406,2328224536
2020-01-07,243.2584991455078,245.8449249267578,234.17678833007812,244.7130126953125,2234914578
2020-01-08,241.0552215576172,251.29730224609375,234.3932342529297,243.07920837402344,2424659797
2020-01-09,239.2226104736328,243.04739379882812,232.34799194335938,240.99803161621094,1908677851
2020-01-10,270.72528076171875,271.7676696777344,232.63597106933594,239.55162048339844,2986773814
2020-01-11,260.67999267578125,276.6336364746094,259.8102722167969,270.19720458984375,2487051623
2020-01-12,268.237060546875,269.07086181640625,259.2812194824219,261.10028076171875,2168514332
2020-01-13,267.5228271484375,270.7655944824219,261.87115478515625,268.4125061035156,1884541173
2020-01-14,350.2635192871094,364.1580810546875,267.5311279296875,267.6441650390625,6618289058
2020-01-15,339.39532470703125,358.8165283203125,319.00921630859375,348.7173156738281,5240635087
2020-01-16,325.9784851074219,341.23760986328125,311.56280517578125,339.6820983886719,3652947113
2020-01-17,366.97698974609375,379.68365478515625,320.6188659667969,326.3751220703125,5128628377
2020-01-18,339.11627197265625,398.8927307128906,334.83538818359375,367.4088439941406,6041778648
2020-01-19,338.30511474609375,362.1460876464844,323.1120300292969,338.4001770019531,4458226713
2020-01-20,343.8071594238281,351.8434143066406,325.28228759765625,338.119384765625,3361586387
2020-01-21,343.4217834472656,346.53643798828125,334.7032470703125,343.5102844238281,2658918440
2020-01-22,347.2313232421875,352.0074768066406,339.61688232421875,343.3699951171875,2468426687
2020-01-23,324.8680114746094,348.3945007324219,319.2879638671875,347.4979248046875,2722405196
2020-01-24,319.5209045410156,327.37530517578125,299.9560852050781,325.1677551269531,3346887042
2020-01-25,311.35833740234375,319.4014587402344,305.48773193359375,319.3762512207031,2169791084
2020-01-26,346.99786376953125,347.7431945800781,308.5487365722656,310.99591064453125,3192088890
2020-01-27,362.6493225097656,374.86090087890625,346.531005859375,346.8900451660156,4123924761
2020-01-28,378.859130859375,382.775146484375,360.5024719238281,362.65313720703125,3916343793
2020-01-29,381.5235290527344,393.7833557128906,378.2979736328125,379.10308837890625,3987047015
